ISIN	Date
XS0831370613	2017-06-23
XS0933604943	2017-06-23
XS0975256685	2017-06-23
XS1148073205	2017-06-23
XS1334225361	2017-06-23
XS1442286008	2017-06-23
XS1451452954	2017-06-23
XS1613140489	2017-06-23
XS1084563615	2017-06-23
XS0934389221	2017-06-23
XS0934539726	2017-06-23
XS0760139773	2017-06-23
XS1195056079	2017-06-23
XS1371715118	2017-06-23
XS1622363858	2017-06-23
XS1077584024	2017-06-23
XS1199964575	2017-06-23
XS1565699763	2017-06-23
FR0010951806	2017-06-23
FR0011347608	2017-06-23
XS1110299036	2017-06-23
XS1370701549	2017-06-23
XS1520733301	2017-06-23
XS1622193750	2017-06-23
FR0011355791	2017-06-23
FR0011560333	2017-06-23
FR0011625433	2017-06-23
FR0012146777	2017-06-23
FR0012146801	2017-06-23
XS0456451771	2017-06-23
XS1363071009	2017-06-23
XS0995382446	2017-06-23
XS0428147093	2017-06-23
XS1048521733	2017-06-23
XS1048529041	2017-06-23
XS1135276332	2017-06-23
XS1135277140	2017-06-23
XS1292468045	2017-06-23
XS1292468987	2017-06-23
XS1292484323	2017-06-23
XS1411401083	2017-06-23
XS1411405662	2017-06-23
XS1476654238	2017-06-23
XS1476654584	2017-06-23
DE000A1G85B4	2017-06-23
DE000A1UDWM7	2017-06-23
DE000A1UDWN5	2017-06-23
XS0369461644	2017-06-23
XS0806449814	2017-06-23
XS0829183614	2017-06-23
XS0829190585	2017-06-23
XS0853682069	2017-06-23
XS0914294979	2017-06-23
XS1019326641	2017-06-23
XS1061410962	2017-06-23
XS1126183760	2017-06-23
XS1318709497	2017-06-23
XS1505573482	2017-06-23
XS1508588875	2017-06-23
XS1555402145	2017-06-23
FR0010199927	2017-06-23
XS0368361217	2017-06-23
XS0410937659	2017-06-23
XS0488101527	2017-06-23
BE0374557404	2017-06-23
XS0953958641	2017-06-23
XS1185941850	2017-06-23
XS1077088984	2017-06-23
XS1524573752	2017-06-23
FR0010745976	2017-06-23
FR0010780528	2017-06-23
FR0013173432	2017-06-23
DE000TLX2003	2017-06-23
DE000TLX2102	2017-06-23
XS0184373925	2017-06-23
XS0486101024	2017-06-23
XS0630463965	2017-06-23
XS0794393396	2017-06-23
XS1020952435	2017-06-23
XS1169832810	2017-06-23
XS1347748607	2017-06-23
XS1419869885	2017-06-23
XS1497606365	2017-06-23
XS1551678409	2017-06-23
XS0462999573	2017-06-23
XS0540187894	2017-06-23
XS0746276335	2017-06-23
XS0842214818	2017-06-23
XS0874864860	2017-06-23
XS0907289978	2017-06-23
XS0934042549	2017-06-23
XS1069430368	2017-06-23
XS1120892507	2017-06-23
XS1290729208	2017-06-23
XS1394764689	2017-06-23
XS1394777665	2017-06-23
XS1505554698	2017-06-23
XS1505554771	2017-06-23
XS1550951138	2017-06-23
XS1550951211	2017-06-23
XS1555704078	2017-06-23
XS0162869076	2017-06-23
XS0767278301	2017-06-23
XS0950055359	2017-06-23
XS0999667263	2017-06-23
XS1405762805	2017-06-23
XS0485616758	2017-06-23
XS0593606121	2017-06-23
XS0593606550	2017-06-23
XS0988014212	2017-06-23
XS1241581096	2017-06-23
XS1241581179	2017-06-23
XS1432384409	2017-06-23
XS1432384664	2017-06-23
XS1505568136	2017-06-23
XS0740810881	2017-06-23
XS1043513529	2017-06-23
XS1183235644	2017-06-23
XS1514470316	2017-06-23
XS0203712939	2017-06-23
XS0436320278	2017-06-23
XS0605214336	2017-06-23
XS0843310748	2017-06-23
XS1178105851	2017-06-23
XS1503131713	2017-06-23
XS0418669429	2017-06-23
XS0541787783	2017-06-23
XS0554819465	2017-06-23
XS0761713865	2017-06-23
XS0811116853	2017-06-23
XS0978619194	2017-06-23
XS1038708522	2017-06-23
XS1074055770	2017-06-23
XS1121177338	2017-06-23
XS1218363270	2017-06-23
XS1376614118	2017-06-23
XS1401196958	2017-06-23
XS1401197253	2017-06-23
XS1523192588	2017-06-23
XS1569845404	2017-06-23
XS1619568303	2017-06-23
XS1619568998	2017-06-23
XS0957258212	2017-06-23
XS1178970106	2017-06-23
XS1241577490	2017-06-23
XS1403010512	2017-06-23
XS1403014936	2017-06-23
XS1403015156	2017-06-23
XS1566100977	2017-06-23
XS1566101603	2017-06-23
XS1529854280	2017-06-23
XS1032164607	2017-06-23
XS1145750037	2017-06-23
XS1269854870	2017-06-23
FR0011689033	2017-06-23
FR0013139482	2017-06-23
FR0013230943	2017-06-23
FR0010033381	2017-06-23
XS0439828269	2017-06-23
XS1140300663	2017-06-23
XS0942081570	2017-06-23
XS0942082115	2017-06-23
XS0951155869	2017-06-23
FR0010830034	2017-06-23
XS0168881760	2017-06-23
XS0731681556	2017-06-23
XS0873793375	2017-06-23
XS0909788290	2017-06-23
XS1167644407	2017-06-23
XS1167667283	2017-06-23
XS1586555515	2017-06-23
XS1586555606	2017-06-23
XS1586555861	2017-06-23
XS1586555945	2017-06-23
DE000A1HRVD5	2017-06-23
DE000A1ZLUN1	2017-06-23
DE000A1ZY971	2017-06-23
DE000A1ZY989	2017-06-23
DE000A18V138	2017-06-23
DE000A18V146	2017-06-23
DE000A19B8D4	2017-06-23
DE000A19B8E2	2017-06-23
DE000A182VS4	2017-06-23
DE000A182VT2	2017-06-23
DE000A189ZX0	2017-06-23
FR0011036979	2017-06-23
FR0013005196	2017-06-23
FR0013213709	2017-06-23
XS1514149159	2017-06-23
XS0907301260	2017-06-23
XS1067329570	2017-06-23
XS1575992596	2017-06-23
XS1533928971	2017-06-23
XS1112013666	2017-06-23
DE000A1HJ483	2017-06-23
XS0625977987	2017-06-23
XS1234248919	2017-06-23
XS0979598207	2017-06-23
XS0979598462	2017-06-23
XS1628004779	2017-06-30
FR0010096941	2017-06-30
XS1632897762	2017-06-30
XS1632897929	2017-06-30
BE6248644013	2017-07-07
BE6276039425	2017-07-07
BE6276040431	2017-07-07
BE6285451454	2017-07-07
BE6285452460	2017-07-07
BE6285454482	2017-07-07
BE6285455497	2017-07-07
BE6285457519	2017-07-07
IT0004869985	2017-07-07
IT0005108490	2017-07-07
FR0013264405	2017-07-07
FR0013264421	2017-07-07
FR0013264439	2017-07-07
BE0002269380	2017-07-07
XS1637093508	2017-07-07
DE000A2GSCW3	2017-07-07
DE000A2GSCX1	2017-07-07
DE000A2GSCY9	2017-07-07
BE0002178441	2017-07-07
BE0002420926	2017-07-07
BE0002443183	2017-07-07
BE0002470459	2017-07-07
FR0010800540	2017-07-07
FR0010891317	2017-07-07
FR0010961540	2017-07-07
FR0010961581	2017-07-07
FR0011182641	2017-07-07
FR0011225143	2017-07-07
FR0011318658	2017-07-07
FR0011637586	2017-07-07
FR0013213295	2017-07-07
FR0013213303	2017-07-07
XS0342783692	2017-07-07
XS0367001228	2017-07-07
XS0409749206	2017-07-07
BE0002239086	2017-07-07
BE0002276450	2017-07-07
BE0002466416	2017-07-07
IT0004794142	2017-07-07
FR0010952739	2017-07-07
FR0011147305	2017-07-07
FR0011261916	2017-07-07
FR0011289222	2017-07-07
FR0011911239	2017-07-07
FR0011911247	2017-07-07
FR0012602753	2017-07-07
FR0012602761	2017-07-07
FR0013245859	2017-07-07
FR0013245867	2017-07-07
FR0013260767	2017-07-07
IT0004760655	2017-07-07
XS0954248729	2017-07-07
XS1639488771	2017-07-07
FR0013262698	2017-07-07
XS1111108673	2017-07-07
XS1086104681	2017-07-07
DE000A1PGZ82	2017-07-07
XS0997941199	2017-07-07
XS0997941355	2017-07-07
FR0011321405	2017-07-07
FR0012674661	2017-07-07
FR0013121753	2017-07-07
FR0013203825	2017-07-07
FR0013238045	2017-07-07
FR0011360478	2017-07-07
FR0012758985	2017-07-07
FR0013266830	2017-07-07
FR0013266848	2017-07-07
FR0012332203	2017-07-07
FR0011560069	2017-07-07
FR0011560077	2017-07-07
FR0013217114	2017-07-07
FR0013241536	2017-07-07
FR0013241676	2017-07-07
XS0541453147	2017-07-07
XS0563306314	2017-07-07
XS0616431507	2017-07-07
XS0794245018	2017-07-07
XS0827999318	2017-07-07
XS0911431517	2017-07-07
FR0012969038	2017-07-07
FR0013143989	2017-07-07
FR0013143997	2017-07-07
FR0013144003	2017-07-07
FR0013201613	2017-07-07
FR0013201621	2017-07-07
FR0013201639	2017-07-07
FR0011075183	2017-07-07
FR0011119460	2017-07-07
FR0011561000	2017-07-07
FR0012601367	2017-07-07
FR0012939841	2017-07-07
FR0013201308	2017-07-07
XS1558472129	2017-07-07
XS1622414438	2017-07-07
FR0010913780	2017-07-07
FR0011048966	2017-07-07
FR0011585215	2017-07-07
FR0012949923	2017-07-07
FR0013248507	2017-07-07
FR0013248523	2017-07-07
XS0974375130	2017-07-07
XS0830194501	2017-07-07
XS0994990280	2017-07-07
XS0994991411	2017-07-07
XS1048519679	2017-07-07
XS1139315581	2017-07-07
XS1443997223	2017-07-07
XS1443997819	2017-07-07
FR0010261396	2017-07-07
FR0010474239	2017-07-07
FR0011224963	2017-07-07
FR0012663169	2017-07-07
FR0013210408	2017-07-07
FR0013210416	2017-07-07
FR0013246725	2017-07-07
FR0013246733	2017-07-07
FR0013176302	2017-07-07
FR0013176310	2017-07-07
FR0013220399	2017-07-07
BE0002285543	2017-07-14
XS1301052202	2017-07-14
FR0013266343	2017-07-14
XS1645722262	2017-07-14
XS1646530565	2017-07-21
XS1024136282	2017-07-28
XS1652965085	2017-07-28
XS1650590349	2017-07-28
FR0010952770	2017-07-28
XS1654191623	2017-08-04
XS1654192191	2017-08-04
XS1654192274	2017-08-04
XS1654229373	2017-08-04
XS0763379343	2017-08-04
XS1652866002	2017-08-04
XS0604641034	2017-08-11
XS1616917800	2017-08-11
FR0012315133	2017-08-11
XS0868458653	2017-08-11
FR0012199008	2017-08-18
XS1114452060	2017-09-01
XS1412424662	2017-09-01
XS1673869977	2017-09-01
XS1672151492	2017-09-01
XS1671754650	2017-09-08
XS1671760384	2017-09-08
DE000A19NS93	2017-09-08
XS1678966935	2017-09-15
XS1681521081	2017-09-15
XS1682538183	2017-09-15
FR0013281888	2017-09-15
XS1139316555	2017-09-15
XS1683495052	2017-09-15
XS1683495136	2017-09-15
DE000A19NY87	2017-09-15
XS1685798370	2017-09-22
XS1684831982	2017-09-22
XS1684269332	2017-09-22
XS1685542497	2017-09-22
XS0161100515	2017-09-29
DE000A1HNW52	2017-09-29
XS1626600040	2017-09-29
XS1689523840	2017-09-29
FR0013282571	2017-09-29
FR0013283140	2017-09-29
FR0013284247	2017-09-29
FR0013284254	2017-09-29
FR0013284270	2017-09-29
XS1688199949	2017-09-29
XS1691781865	2017-10-06
XS1693818285	2017-10-06
XS1693818525	2017-10-06
XS1695276367	2017-10-13
FR0013286788	2017-10-13
FR0013286846	2017-10-13
XS1698218523	2017-10-13
XS1702729275	2017-10-20
FR0010870949	2017-10-20
XS0894202968	2017-10-20
XS1698714000	2017-10-20
XS1705553250	2017-10-27
XS1705553417	2017-10-27
DE000A1HG1K6	2017-10-27
XS1706921951	2017-10-27
XS1706922256	2017-10-27
XS1707074941	2017-11-03
XS1707075245	2017-11-03
XS1707075328	2017-11-03
FR0013264488	2017-11-03
FR0013292968	2017-11-03
FR0013293362	2017-11-03
XS1701884204	2017-11-03
XS1704789590	2017-11-03
XS1709374497	2017-11-03
XS1046851025	2017-11-10
XS1715306012	2017-11-10
XS1716616179	2017-11-10
XS1715353105	2017-11-10
DE000A2GSLY0	2017-11-17
DE000A19RXA1	2017-11-17
XS1718393439	2017-11-17
XS1700721464	2017-11-17
XS1709433509	2017-11-24
XS1721051495	2017-11-24
DE000A19SE11	2017-11-24
FR0013298387	2017-11-24
BE6256887967	2017-12-01
XS1724873275	2017-12-01
XS1726152108	2017-12-01
DE000A19S4T0	2017-12-08
DE000A19S4U8	2017-12-08
DE000A19S4V6	2017-12-08
ES0224261059	2017-12-08
XS1729879822	2017-12-08
FR0013298676	2017-12-08
FR0013298684	2017-12-08
XS0215093534	2017-12-08
XS0458887030	2017-12-08
XS0999654873	2017-12-08
XS1627782771	2017-12-08
XS1734533372	2017-12-15
FR0013300605	2017-12-15
FR0013302809	2017-12-15
XS1718281808	2017-12-15
XS1732400319	2017-12-22
DE000A19UNN9	2018-01-12
XS1747444245	2018-01-12
XS1747444831	2018-01-12
PTMTLDOM0005	2018-01-19
XS1753814737	2018-01-19
DE000A19UR61	2018-01-19
