ISIN	CO2	CO2	ESG Score 2015	ESG Score 2016	ESG Score 2017	ESG Score 2018	ESG Score 2019	ESG Score 2020	ESG Score 2021	Green Bond Flag	ISO 14000 or EMS Certified	EMS Certified Percent													
XS1396260520	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1396261338	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1548436473	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1548436556	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1589881272	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1589881785	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0013222494	0	59,8187952	NULL	61,14236242	0	62,42790588	0	69,35690761	70,37287214	N	ISO 14000	94													
FR0010212852	0	59,8187952	NULL	61,14236242	0	62,42790588	0	69,35690761	70,37287214	N	ISO 14000	94													
FR0010853226	0	59,8187952	NULL	61,14236242	0	62,42790588	0	69,35690761	70,37287214	N	ISO 14000	94													
FR0010957662	0	59,8187952	NULL	61,14236242	0	62,42790588	0	69,35690761	70,37287214	N	ISO 14000	94													
FR0011193515	0	59,8187952	NULL	61,14236242	0	62,42790588	0	69,35690761	70,37287214	N	ISO 14000	94													
FR0011332196	0	59,8187952	NULL	61,14236242	0	62,42790588	0	69,35690761	70,37287214	N	ISO 14000	94													
PTBSSBOE0012	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
PTBSSGOE0009	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
PTBSSIOM0015	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
PTBSSJOM0014	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
PTBSSLOM0002	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
BE6254681248	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
BE6295011025	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1405777316	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1232143310	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1232146412	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1468525057	0	98,9905306	NULL	39,25103302	37,7708517	41,27309043	41,31503754	51,67960412	55,18637537	N	ISO 14000	NULL													
XS1551726810	0	98,9905306	NULL	39,25103302	37,7708517	41,27309043	41,31503754	51,67960412	55,18637537	N	ISO 14000	NULL													
XS0170386998	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0946179529	0	124,7702049	NULL	0	0	0	0	59,14842694	60,35571928	N	No	NULL													
XS1114434167	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1291367313	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1485608118	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0944362812	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1377682676	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1493428426	273,7612635	226,2996531	83,16780537	85,41384369	83,49784248	84,79818419	85,25140868	88,83158802	88,83158802	N	Both	76													
XS1577586321	273,7612635	226,2996531	83,16780537	85,41384369	83,49784248	84,79818419	85,25140868	88,83158802	88,83158802	N	Both	76													
XS1627193359	273,7612635	226,2996531	83,16780537	85,41384369	83,49784248	84,79818419	85,25140868	88,83158802	88,83158802	N	Both	76													
FR0010327007	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0013201126	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0013201134	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0953199634	54,91835865	64,58045536	78,41493312	79,79393811	0	0	84,15210587	78,29056814	81,70049782	N	ISO 14000	82													
XS0969344083	54,91835865	64,58045536	78,41493312	79,79393811	0	0	84,15210587	78,29056814	81,70049782	N	ISO 14000	82													
XS1529561182	54,91835865	64,58045536	78,41493312	79,79393811	0	0	84,15210587	78,29056814	81,70049782	N	ISO 14000	82													
XS1377745937	0	427,6313993	NULL	54,70830165	69,51077712	72,55511085	76,2947447	75,47719369	75,47719369	N	ISO 14000	96													
