ISIN	Date	Before2020
XS0479541699	2017-06-23	True
XS0479542580	2017-06-23	True
XS0627188468	2017-06-23	True
XS0741942576	2017-06-23	True
XS0829360923	2017-06-23	True
XS1590568132	2017-06-23	True
XS0875343757	2017-06-23	True
XS0914400246	2017-06-23	True
XS0981438582	2017-06-23	True
XS1041934800	2017-06-23	True
XS1170307414	2017-06-23	True
XS1396767854	2017-06-23	True
XS1401303976	2017-06-23	True
XS1551446880	2017-06-23	True
XS1529684695	2017-06-23	True
XS1117297942	2017-06-23	True
FR0000475758	2017-06-23	True
XS0974877150	2017-06-23	True
XS1051003538	2017-06-23	True
XS1110430193	2017-06-23	True
XS1202846819	2017-06-23	True
XS1489184900	2017-06-23	True
XS1387174375	2017-06-23	True
XS1425274484	2017-06-23	True
XS1529515584	2017-06-23	True
DE000A0TKUU3	2017-06-23	True
XS0458685913	2017-06-23	True
XS0478803355	2017-06-23	True
XS0985874543	2017-06-23	True
XS1002933072	2017-06-23	True
XS1044496203	2017-06-23	True
XS1549372420	2017-06-23	True
XS1589806907	2017-06-23	True
XS1629387462	2017-06-23	True
XS0911691003	2017-06-23	True
XS1288852939	2017-06-23	True
XS1310154536	2017-06-23	True
XS1330434389	2017-06-23	True
XS1401174633	2017-06-23	True
XS1527192485	2017-06-23	True
XS1611855237	2017-06-23	True
XS1611167856	2017-06-23	True
XS0875513268	2017-06-23	True
XS1040041649	2017-06-23	True
XS1488370740	2017-06-23	True
XS1488418960	2017-06-23	True
XS0471071133	2017-06-23	True
XS0880764435	2017-06-23	True
XS0976307040	2017-06-23	True
XS1084043451	2017-06-23	True
XS1504194173	2017-06-23	True
XS1420337633	2017-06-23	True
XS1420338102	2017-06-23	True
XS0825829590	2017-06-23	True
XS0271758301	2017-06-23	True
XS0494868630	2017-06-23	True
XS1527758145	2017-06-23	True
XS1575444622	2017-06-23	True
XS0879869187	2017-06-23	True
XS0940711947	2017-06-23	True
XS0990109240	2017-06-23	True
XS1057055060	2017-06-23	True
XS1116408235	2017-06-23	True
XS1171541813	2017-06-23	True
XS1291004270	2017-06-23	True
XS1398476793	2017-06-23	True
XS1433521884	2017-06-23	True
XS1490726590	2017-06-23	True
XS1191115366	2017-06-23	True
XS1191116174	2017-06-23	True
BE0002448232	2017-06-23	True
BE0002478536	2017-06-23	True
XS0172851650	2017-06-23	True
XS0399647675	2017-06-23	True
XS0412842857	2017-06-23	True
XS0878010718	2017-06-23	True
XS0982019126	2017-06-23	True
XS1595704872	2017-06-23	True
XS1314238459	2017-06-23	True
XS1511781467	2017-06-23	True
XS1551917245	2017-06-23	True
XS1551917591	2017-06-23	True
XS1578294081	2017-06-23	True
DE000A1Z0TA4	2017-06-23	True
DE000A1Z6C06	2017-06-23	True
DE000A1ZSAF4	2017-06-23	True
DE000A19HCW0	2017-06-23	True
DE000A19HCX8	2017-06-23	True
DE000A181034	2017-06-23	True
AT0000A0X913	2017-06-23	True
FR0011236983	2017-06-23	True
FR0011535764	2017-06-23	True
FR0011584929	2017-06-23	True
FR0012648244	2017-06-23	True
FR0013165677	2017-06-23	True
FR0013248721	2017-06-23	True
XS1288849471	2017-06-23	True
XS0896119384	2017-06-23	True
XS1531060025	2017-06-23	True
XS0993228294	2017-06-23	True
XS1041772986	2017-06-23	True
XS1215181980	2017-06-23	True
XS1293087703	2017-06-23	True
XS1495373505	2017-06-23	True
XS0811124790	2017-06-23	True
XS1485532896	2017-06-23	True
XS1485533431	2017-06-23	True
FR0000476087	2017-06-23	True
FR0010586081	2017-06-23	True
XS1554456613	2017-06-23	True
FR0013073277	2017-06-23	True
XS1586337872	2017-06-23	True
DE000A1R07P5	2017-06-23	True
XS0828235225	2017-06-23	True
XS0632659933	2017-06-23	True
XS0718526790	2017-06-23	True
XS0790015548	2017-06-23	True
XS1069836077	2017-06-23	True
XS1397134609	2017-06-23	True
XS1518704900	2017-06-23	True
XS0997829519	2017-06-23	True
XS1030851791	2017-06-23	True
FR0011033232	2017-06-23	True
FR0011485051	2017-06-23	True
FR0011625441	2017-06-23	True
FR0012173706	2017-06-23	True
FR0013257599	2017-06-23	True
FR0013257607	2017-06-23	True
FR0013257615	2017-06-23	True
FR0013257623	2017-06-23	True
XS1596739364	2017-06-23	True
XS1596740453	2017-06-23	True
ES0224244071	2017-06-23	True
XS0497186758	2017-06-23	True
XS1284570626	2017-06-23	True
XS1284576581	2017-06-23	True
XS1398336351	2017-06-23	True
XS1512827095	2017-06-23	True
XS1619643015	2017-06-23	True
XS0863116231	2017-06-23	True
XS1626574708	2017-06-23	True
XS0794392588	2017-06-23	True
XS1233732194	2017-06-23	True
XS1233734562	2017-06-23	True
XS0257884436	2017-06-23	True
XS0690606172	2017-06-23	True
XS0804217536	2017-06-23	True
XS1409382030	2017-06-23	True
XS1520713022	2017-06-23	True
XS0805500062	2017-06-23	True
XS0826531120	2017-06-23	True
XS0925668625	2017-06-23	True
XS0969795680	2017-06-23	True
XS1132789949	2017-06-23	True
XS1319652902	2017-06-23	True
XS1204254715	2017-06-23	True
XS1550988569	2017-06-23	True
XS1623355374	2017-06-23	True
XS1623355457	2017-06-23	True
XS1134729794	2017-06-23	True
XS1134758116	2017-06-23	True
XS1492825051	2017-06-23	True
XS1492825481	2017-06-23	True
XS1584884347	2017-06-23	True
XS1585010074	2017-06-23	True
XS0912992160	2017-06-23	True
XS1025752293	2017-06-23	True
FR0000471930	2017-06-23	True
XS0365094811	2017-06-23	True
XS1408317433	2017-06-23	True
XS1418632748	2017-06-23	True
XS1615067615	2017-06-23	True
XS1489391109	2017-06-23	True
FR0011798115	2017-06-23	True
FR0012173862	2017-06-23	True
FR0012968931	2017-06-23	True
FR0013172939	2017-06-23	True
XS1028951777	2017-06-23	True
XS0944435121	2017-06-23	True
NL0006133175	2017-06-23	True
FR0012384634	2017-06-23	True
FR0012384667	2017-06-23	True
FR0013217346	2017-06-23	True
XS0591586788	2017-06-23	True
XS0619706657	2017-06-23	True
XS0876289652	2017-06-23	True
XS0935803386	2017-06-23	True
XS1079698376	2017-06-23	True
XS1219462543	2017-06-23	True
XS1395060491	2017-06-23	True
XS1633929929	2017-06-23	True
XS1050547931	2017-06-23	True
XS1223842847	2017-06-23	True
FR0013183431	2017-06-23	True
XS1384281090	2017-06-23	True
XS1576837725	2017-06-23	True
XS1576838376	2017-06-23	True
XS0982774399	2017-06-23	True
XS1189286286	2017-06-23	True
XS1423826798	2017-06-23	True
XS0733696495	2017-06-23	True
XS0831370613	2017-06-23	True
XS0933604943	2017-06-23	True
XS0975256685	2017-06-23	True
XS1148073205	2017-06-23	True
XS1334225361	2017-06-23	True
XS1442286008	2017-06-23	True
XS1451452954	2017-06-23	True
XS1613140489	2017-06-23	True
XS1084563615	2017-06-23	True
XS0934389221	2017-06-23	True
XS0934539726	2017-06-23	True
XS0760139773	2017-06-23	True
XS1195056079	2017-06-23	True
XS1371715118	2017-06-23	True
XS1622363858	2017-06-23	True
XS1077584024	2017-06-23	True
XS1199964575	2017-06-23	True
XS1565699763	2017-06-23	True
FR0010951806	2017-06-23	True
FR0011347608	2017-06-23	True
XS1110299036	2017-06-23	True
XS1370701549	2017-06-23	True
XS1520733301	2017-06-23	True
