Green Bond issuer;Country;Market Information Template;External Review Form;External Review Report;External links (NB: Please use the links for most up to date information);;
ENGIE (September 2017);France;;;VIGEO EIRIS;https://www.engie.com/en/csr-experts-area/2017-green-bond/;;
Entra Eiendom ASA (Entra);Norway;;;CICERO;https://entra.no/investor-relations/article/financing/25;;
EUROFIMA;Switzerland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.eurofima.org/sustainability/green-bonds/;;
European Bank for Reconstruction and Development (EBRD) - Climate Resilience Bonds 2019;Supra-national;September 2019;;;https://www.ebrd.com/work-with-us/sri/green-bond-issuance.html;;
European Bank for Reconstruction and Development (EBRD) - Environmental Sustainability Bonds 2019;Supra-national;September 2019;;CICERO;https://www.ebrd.com/work-with-us/sri/green-bond-issuance.html;;
European Bank for Reconstruction and Development (EBRD) - Green Transition Bonds 2019;Supra-national;September 2019;;;https://www.ebrd.com/work-with-us/sri/green-bond-issuance.html;;
European Energy A/S;Denmark;;;DNV;https://europeanenergy.com/en/investor-relations;;
European Investment Bank (EIB) - CABs (2015);Supra-national;September 2016;Appendix to KPMG statement;KPMG;http://www.eib.org/investor_relations/cab/index.htm;;
European Investment Bank (EIB) - CABs (2016);Supra-national;September 2016;Appendix to KPMG statement;KPMG;http://www.eib.org/investor_relations/cab/index.htm;;
European Investment Bank (EIB) - CABs (2017);Supra-national;;Appendix to KPMG statement;KPMG;http://www.eib.org/investor_relations/cab/index.htm;;
European Investment Bank (EIB) - CABs (2018);Supra-national;;Appendix to KPMG statement;KPMG;http://www.eib.org/investor_relations/cab/index.htm;;
European Investment Bank (EIB) - CABs (2019);Supra-national;;Appendix to KPMG statement;KPMG;http://www.eib.org/investor_relations/cab/index.htm;;
Export Development Canada;Canada;;;CICERO;https://www.edc.ca/EN/Investor-Relations/Pages/green-bonds.aspx;;
Export-Import Bank of Korea (KEXIM);Korea;;;CICERO;https://www.koreaexim.go.kr/site/program/board/basicboard/list?boardtypeid=332&phototype=list&menuid=002001006006;;
Fabege;Sweden;;;SUSTAINALYTICS;https://fabege.se/en/About-Fabege/Financial-Information/Financing/Green-MTN-programme/;;
Falck Renewables;Italy;;;DNV;https://www.falckrenewables.com/investor-relations/greenbond;;
Fannie Mae (2018);US;;;CICERO;https://www.fanniemae.com/multifamily/green-initiative-green-mbs;;
Fannie Mae (2020);US;;;CICERO;https://www.fanniemae.com/multifamily/green-initiative-green-mbs;;
Fastighets AB Balder;Sweden;;;CICERO;https://en.balder.se/investor-relations/green-bond-framework;;
Fastpartner;Sweden;November 2018;CICERO;CICERO;https://fastpartner.se/finansiell-information/;;
FCC Servicios Medio Ambiente Holding ;Spain;December 2019;;CICERO;http://www.fccambito.com/en/informacion-financiera/bono-verde-fcc-medioambiente;;
Federal Government of Nigeria;Nigeria;;;Moody's Investors Service;http://www.dmo.gov.ng/fgn-bonds/green-bond;;
Federal Republic of Germany;Germany;;;ISS ESG;https://www.deutsche-finanzagentur.de/en/institutional-investors/federal-securities/green-federal-securities/;;
Ferrovie dello Stato Italiane SpA;Italy;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.fsitaliane.it/content/fsitaliane/en/investor-relations/debt-and-credit-rating/green-bond.html;;
Fibria Overseas Finance Ltd;Brazil;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://ir.fibria.com.br/sustainability/green-bond-2027;;
First Abu Dhabi Bank (2018);UAE;June 2018;KPMG;VIGEO EIRIS;https://www.bankfab.com/en-ae/about-fab/investor-relations/debt-investor-information/fab-green-bond;;
