ISIN	ICB Industry name	ICB Sector name	ICB Supersector name
XS0934389221	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0934539726	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0760139773	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1195056079	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1371715118	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1622363858	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1077584024	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1199964575	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1565699763	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
FR0010951806	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
FR0011347608	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1110299036	Financials	Non-life Insurance	Insurance
XS1370701549	Financials	Non-life Insurance	Insurance
XS1520733301	Financials	Non-life Insurance	Insurance
XS1622193750	Financials	Non-life Insurance	Insurance
FR0011355791	Health Care	Pharmaceuticals and Biotechnology	Health Care
FR0011560333	Health Care	Pharmaceuticals and Biotechnology	Health Care
FR0011625433	Health Care	Pharmaceuticals and Biotechnology	Health Care
FR0012146777	Health Care	Pharmaceuticals and Biotechnology	Health Care
FR0012146801	Health Care	Pharmaceuticals and Biotechnology	Health Care
XS0456451771	Health Care	Pharmaceuticals and Biotechnology	Health Care
XS1363071009	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0995382446	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0428147093	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1048521733	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1048529041	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1135276332	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
